subject,level,true_time,min_time,coco_count,rmi,level_order,s_total_time,s_rmi,s_time_in_game
60,4,227.6220703125,1141.22802734375,284,0.3269287715737006,7,1.243186061311177,1.2507044797206697,0.49543369430686224
60,2,132.0699462890625,1368.8489990234375,244,0.2780795514792599,8,-1.396568582090775,0.3125458333088689,0.8257228238447705
60,9,220.7550048828125,1500.91796875,293,0.3018046066978859,9,1.0534742360657618,0.7681900717822783,1.1560119533826787
60,8,163.5040283203125,1721.68798828125,240,0.33329214519792394,10,-0.5281602149181444,1.3729142913486208,1.4863010829205867
61,9,126.30339431762695,57.04130172729492,309,0.5190875784426524,1,0.15662628954152366,-0.5572207846110513,-1.4863010829205867
61,1,153.73019409179688,183.45779418945313,344,0.4479747489599608,2,1.2409416527639183,-1.0234666380062405,-1.1560119533826787
61,10,129.98260498046875,337.1748962402344,344,0.5321892818561892,3,0.3020834584091865,-0.4713204634817688,-0.8257228238447705
61,4,154.534423828125,467.1604919433594,293,0.5076931823631894,4,1.2727367825581772,-0.6319272751647015,-0.49543369430686224
61,7,103.531494140625,621.70721435546875,267,0.5384835515216853,5,-0.7436581554174687,-0.43005256353970633,-0.1651445647689541
61,5,139.9849853515625,725.2246704101564,332,0.47245299517696326,6,0.6975264118151246,-0.8629768799683931,0.1651445647689541
61,6,81.48382568359375,865.2301025390625,204,0.8443491644229744,7,-1.615310182924798,1.5753320449593002,0.49543369430686224
61,8,102.18182373046876,946.706787109375,205,0.8358083133784697,8,-0.7970172192918237,1.519334605215527,0.8257228238447705
61,3,136.2999267578125,1048.8900146484375,253,0.5683889719096313,9,0.5518380456740271,-0.23397995116652676,1.1560119533826787
61,2,95.384033203125,1185.1739501953125,202,0.7743332307986146,10,-1.065767083127864,1.1162779057635588,1.4863010829205867
62,7,163.12197494506836,44.085330963134766,302,0.3241494537846151,1,-0.2528035173356734,-0.3784490129528902,-1.4863010829205867
62,6,124.48300170898438,207.3072967529297,253,0.3131378971051224,2,-1.8991745257995043,-0.6525405450304983,-1.1560119533826787
62,3,170.14898681640625,331.8063049316406,325,0.31791857595924,3,0.04661097668866072,-0.5335434195889681,-0.8257228238447705
62,10,187.46612548828125,502.0483093261719,345,0.2961743016057168,4,0.784478281927964,-1.0747858292632,-0.49543369430686224
62,5,181.64990234375,689.4052734375,344,0.2910925576878942,5,0.5366543787045183,-1.2012768438039543,-0.1651445647689541
62,4,203.315673828125,871.055419921875,306,0.33140168423506466,6,1.4598129168451266,-0.1979318514832941,0.1651445647689541
62,2,142.666015625,1074.3709716796875,288,0.35591532742149057,7,-1.1244130751027235,0.4122436408051248,0.49543369430686224
62,8,154,1217.0369873046875,270,0.417655061887328,8,-0.6414824555086193,1.9490234896816478,0.8257228238447705
62,9,179.365966796875,1371.04296875,341,0.383430774420621,9,0.43933799178605265,1.0971378154713833,1.1560119533826787
62,1,184.3330078125,1550.4200439453125,348,0.36265981959080607,10,0.6509790277941961,0.5801225561646449,1.4863010829205867
63,3,186.6716537475586,74.7403335571289,316,0.19889222188616495,1,0.2746330415252891,-1.0508004098031676,-1.4863010829205867
63,6,129.88330078125,261.52801513671875,253,0.27118791874222636,2,-1.67984906338165,0.5227713784130477,-1.1560119533826787
63,8,151.02783203125,391.4129028320313,254,0.2831696662105069,3,-0.952118714003692,0.7835633841551779,-0.8257228238447705
63,10,219.9971923828125,542.43817138671875,345,0.2676636341563545,4,1.4215965559915635,0.4460625971281179,-0.49543369430686224
63,7,170.52056884765636,762.42047119140625,292,0.24053207397569243,5,-0.2812380968826107,-0.14447680600650736,-0.1651445647689541
63,5,178.08111572265614,932.9425048828124,347,0.2671194565244832,6,-0.021027106448286745,0.4342181498576825,0.1651445647689541
63,9,216.7340087890625,1111.0780029296875,291,0.18982247815359857,7,1.3092877178959397,-1.2482104007785946,0.49543369430686224
63,2,150.39501953125,1327.7659912109375,248,0.28743526750215165,8,-0.9738981924073922,0.8764074972104087,0.8257228238447705
63,1,195.093017578125,1478.1519775390625,340,0.16730011758203234,9,0.5644707291144614,-1.7384270075845425,1.1560119533826787
63,4,188.5169677734375,1673.260986328125,298,0.2985758831242158,10,0.33814312859638,1.1188916174083756,1.4863010829205867
64,1,202.82297134399417,53.08433151245117,347,0.25678307174333437,1,0.5126517441955974,-1.451868197162442,-1.4863010829205867
64,5,194.46400451660156,256.0072937011719,349,0.6477054851105207,2,0.33525250786390765,1.1874197348191509,-1.1560119533826787
